Rank,Champion,Tier,Win Rate,Pick Rate,Ban Rate,Column1
,Aatrox,1,0.4968,0.1323,0.3661,
,Fiora,1,0.4996,0.0921,0.1773,
,Camille,1,0.5064,0.0767,0.0307,
,Darius,1,0.5084,0.0918,0.266,
,Nasus,1,0.51,0.0583,0.1022,
,Ornn,1,0.5104,0.0667,0.0106,
,Sejuani,1,0.5235,0.0446,0.0132,
,Shen,1,0.5246,0.0529,0.0105,
,Olaf,1,0.5283,0.0263,0.0156,
,Jax,2,0.4945,0.0627,0.0601,
,Irelia,2,0.4997,0.0531,0.0881,
,Sett,2,0.5025,0.0738,0.0328,
,Mordekaiser,2,0.508,0.0576,0.0542,
,Garen,2,0.5083,0.0532,0.0179,
,Riven,2,0.5115,0.039,0.0099,
,Illaoi,2,0.5136,0.0266,0.021,
,Urgot,2,0.5142,0.0234,0.0043,
,Warwick,2,0.5276,0.0165,0.0043,
,Singed,2,0.5288,0.0191,0.0049,
,Kled,2,0.5296,0.0199,0.0063,
,Renekton,3,0.4846,0.0618,0.0368,
,Gangplank,3,0.4861,0.0666,0.055,
,Jayce,3,0.4895,0.0339,0.0044,
,Gnar,3,0.4896,0.0307,0.0053,
,Yorick,3,0.4917,0.0227,0.0169,
,Kayle,3,0.4925,0.0206,0.0055,
,Sion,3,0.4937,0.0398,0.0059,
,Tryndamere,3,0.5,0.0222,0.0176,
,Maokai,3,0.501,0.0198,0.0082,
,Malphite,3,0.5025,0.0283,0.0183,
,Akshan,3,0.5049,0.0111,0.0137,
,Rengar,3,0.5132,0.0104,0.0104,
,Poppy,3,0.515,0.0134,0.008,
,Pantheon,3,0.5155,0.0142,0.0018,
,Wukong,3,0.518,0.0126,0.0029,
,Quinn,3,0.5218,0.0123,0.0053,
,Zac,3,0.5271,0.0096,0.0059,
,Malzahar,3,0.5317,0.0064,0.0025,
,Yone,4,0.465,0.0546,0.0443,
,Teemo,4,0.4813,0.0249,0.0208,
,Gwen,4,0.4848,0.0255,0.0082,
,Volibear,4,0.488,0.0191,0.0052,
,Vladimir,4,0.4896,0.014,0.0192,
,Dr. Mundo,4,0.4923,0.016,0.0047,
,Rumble,4,0.4928,0.0175,0.005,
,Tahm Kench,4,0.4962,0.0114,0.0025,
,Cho'Gath,4,0.4976,0.0117,0.0019,
,Heimerdinger,4,0.5066,0.0069,0.0053,
,Akali,5,0.4575,0.0305,0.0374,
,Sylas,5,0.4593,0.0239,0.0175,
,Gragas,5,0.4667,0.0282,0.0031,
,Kennen,5,0.4679,0.0156,0.0044,
,Udyr,5,0.4692,0.0077,0.0216,
,Ryze,5,0.4705,0.0077,0.0004,
,Yasuo,5,0.4713,0.0166,0.0237,
,Vayne,5,0.4751,0.0156,0.0153,
,Trundle,5,0.4849,0.0066,0.0034,
,Swain,5,0.4869,0.0054,0.0014,
,Lillia,5,0.4916,0.0058,0.0019,
,Cassiopeia,5,0.5034,0.0051,0.0028,
